id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
HAD05C,1,0,ad song,.74166667,.25833333,.25833333,3.2463102,3.2463102,HAD05
HAD05D,0,0,ad speech,.53900707,.4609929,.4609929,4.4160314,4.4160314,HAD05
HAD05A,1,1,id song,.7280702,.27192983,.7280702,3.345561,3.345561,HAD05
HAD05B,0,1,id speech,.28799999,.71200001,.28799999,2.9936764,2.9936764,HAD05
HAD06C,1,0,ad song,.64957267,.35042736,.35042736,3.146282,3.146282,HAD06
HAD06D,0,0,ad speech,.24299066,.75700933,.75700933,3.2103543,3.2103543,HAD06
HAD06A,1,1,id song,.66666669,.33333334,.66666669,3.3385999,3.3385999,HAD06
HAD06B,0,1,id speech,.66423357,.33576643,.66423357,3.1482308,3.1482308,HAD06
HAD07C,1,0,ad song,.80341882,.1965812,.1965812,3.51965,3.51965,HAD07
HAD07D,0,0,ad speech,.44642857,.5535714,.5535714,3.7192459,3.7192459,HAD07
HAD07A,1,1,id song,.64754099,.35245901,.64754099,3.2822764,3.2822764,HAD07
HAD07B,0,1,id speech,.7557252,.24427481,.7557252,3.7402267,3.7402267,HAD07
HAD08C,1,0,ad song,.63999999,.36000001,.36000001,2.3299546,2.3299546,HAD08
HAD08D,0,0,ad speech,.13461539,.86538464,.86538464,3.5703778,3.5703778,HAD08
HAD08A,1,1,id song,.62096775,.37903225,.62096775,3.6852055,3.6852055,HAD08
HAD08B,0,1,id speech,.37614679,.62385321,.37614679,4.4996667,4.4996667,HAD08
HAD09C,1,0,ad song,.79130435,.20869565,.20869565,3.3599584,3.3599584,HAD09
HAD09D,0,0,ad speech,.28440368,.71559632,.71559632,3.436919,3.436919,HAD09
HAD09A,1,1,id song,.85314685,.14685315,.85314685,3.4390757,3.4390757,HAD09
HAD09B,0,1,id speech,.46666667,.53333336,.46666667,3.9328871,3.9328871,HAD09
HAD10D,0,0,ad speech,.24299066,.75700933,.75700933,4.4606709,4.4606709,HAD10
HAD10B,0,1,id speech,.23364486,.76635516,.23364486,4.679739,4.679739,HAD10
JEN01C,1,0,ad song,.384,.616,.616,3.87568,3.87568,JEN01
JEN01A,1,1,id song,.62790698,.37209302,.62790698,3.4029241,3.4029241,JEN01
